key,zh,en
ui_main_menu_title,魔塔3000,Magic Tower 3000
ui_main_menu_new_game,新的游戏,New Game
ui_main_menu_load_game,加载游戏,Load Game
ui_main_menu_continue,继续游戏,Continue
ui_main_menu_save_game,保存游戏,Save Game
ui_main_menu_settings,设置游戏,Settings
ui_main_menu_exit,退出游戏,Exit Game
ui_main_menu_audio_settings,音频设置,Audio Settings
ui_main_menu_bgm_off,关闭背景音乐,Disable BGM
ui_main_menu_sfx_off,关闭音效,Disable SFX
ui_main_menu_bgm_on,打开背景音乐,Enable BGM
ui_main_menu_sfx_on,打开音效,Enable SFX
ui_saving_do_not_close,保存中，请不要关闭...,"Saving, please do not close..."
ui_creating_world,世界创建中...,Creating world...
ui_battle_skill_bar,技能栏,Skill Bar
ui_battle_action_bar,操作栏,Action Bar
ui_battle_attack,攻击,Attack
ui_battle_skill,技能,Skill
ui_battle_persuade,劝服,Persuade
ui_battle_quick_battle,快速战斗,Quick Battle
ui_hud_floor,第%s层,Floor %s
ui_hud_inventory,背包,Bag
ui_hud_settings,设置,Settings
ui_hud_skills,技能,Skills
ui_hud_equipment,装备,Equipment
ui_hud_craft,配方,Recipes
ui_inventory_title,背包,Bag
ui_inventory_use,使用,Use
ui_inventory_discard,丢弃,Discard
ui_inventory_empty,空的,Empty
ui_inventory_quantity,数量：,Quantity: 
ui_inventory_price,价格：,Price: 
ui_inventory_equip,装备,Equip
ui_inventory_unequip,卸下,Unequip
ui_inventory_full,背包已满 (默认容量%s),Bag full (capacity %s)
ui_inventory_familiar,我熟悉它。,I am familiar with it.
ui_shop_title,商店,Shop
ui_shop_buy,购买,Buy
ui_shop_sell,出售,Sell
ui_shop_not_enough_gold,金币不足,Not enough gold
ui_shop_not_enough_qty,数量不足,Not enough items
ui_deal_title,输入数量,Enter Quantity
ui_deal_confirm,确认,Confirm
ui_deal_cancel,取消,Cancel
ui_craft_title,合成,Craft
ui_craft_recipe,配方：,Recipe: 
ui_craft_use,使用,Use
ui_craft_discard,丢弃,Discard
ui_craft_empty,空的,Empty
ui_skill_title,技能,Skills
char_player,勇士,Brave
char_mowang,魔塔之主,Tower Lord
char_yaojishi,药剂师,Alchemist
char_shen,神,God
char_ghost,幽灵,Ghost
char_wandering_ghost,徘徊的幽灵,Wandering Ghost
char_fiona,魔塔之主·菲欧娜,Tower Lord Fiona
char_dog,杰姆,Jim
char_merchant,商人,Merchant
char_brave,勇者,Hero
char_emo,?,?
char_narrator,,
battle_damage_taken,受到%s伤害,Took %s damage
battle_damage_dealt,造成%s伤害,Dealt %s damage
battle_heal_hp,回复生命%s,Healed %s HP
battle_heal_mp,回复魔力%s,Restored %s MP
battle_hp_lost,生命值减少%s,HP reduced by %s
battle_mp_lost,魔力值减少%s,MP reduced by %s
battle_attack,攻击,Attack
battle_defense,防御,Defense
battle_hp,生命,HP
battle_mp,魔力,MP
battle_gold,金币,Gold
battle_exp,经验,EXP
battle_level_up,升级！,Level Up!
battle_dodge,闪避！,Dodge!
battle_critical,暴击！,Critical Hit!
battle_victory,胜利！,Victory!
battle_defeat,败北...,Defeated...
battle_escape,逃跑了！,Escaped!
effect_burn,灼烧,Burn
effect_frozen,冰冻,Frozen
effect_poison,中毒,Poisoned
effect_reveal,现形,Revealed
item_healing_potion,生命药水,Health Potion
item_mana_potion,魔力药水,Mana Potion
item_revealing_potion,现形药水,Revealing Potion
item_red_crystal,红色水晶,Red Crystal
item_green_crystal,绿色水晶,Green Crystal
