key,zh,en
乌诺,乌诺,Uno
制作人A,制作人A,Producer A
制片人A,制片人A,Producer A
勇士,勇士,Brave
商人,商人,Merchant
徘徊的幽灵,徘徊的幽灵,Wandering Ghost
投资者B,投资者B,Investor B
教程,教程,Tutorial
杰姆,杰姆,Jim
神,神,God
老板,老板,Boss
药剂师,药剂师,Alchemist
魔塔之主,魔塔之主,Tower Lord
古老的祭坛泛起微光，符文如呼吸般明灭。随着空中清脆的声音叮当一声，一个温柔的女声在你耳畔响起,古老的祭坛泛起微光，符文如呼吸般明灭。随着空中清脆的声音叮当一声，一个温柔的女声在你耳畔响起,"The ancient altar glows softly, runes pulsing like breath. A gentle female voice whispers in your ear..."
旅人，以爱与誓约换取力量… 献上汝之祭品。,旅人，以爱与誓约换取力量… 献上汝之祭品。,"Traveler, trade love and vows for power... Offer your sacrifice."
选择吧… 代价即荣耀。（请注意读档后设定该加成会消失）,选择吧… 代价即荣耀。（请注意读档后设定该加成会消失）,Choose... The cost is glory. (Note: this bonus resets on reload.)
你的财富（500gold） → 生命力+40 攻击力+1,你的财富（500gold） → 生命力+40 攻击力+1,Your wealth (500 gold) -> HP+40 Attack+1
带着真挚情感的物品 → 防御力+10,带着真挚情感的物品 → 防御力+10,An item of true sentiment -> Defense+10
取消,取消,Cancel
一道柔光将你的身体笼罩，你感觉到了力量在涌动。,一道柔光将你的身体笼罩，你感觉到了力量在涌动。,A soft light envelops you; you feel power surging within.
所有的一切都需要代价。,所有的一切都需要代价。,Everything comes at a price.
一瞬间，一股冰凉的寒意窜上你的头颅，你感受到了一阵撕裂般的剧痛。,一瞬间，一股冰凉的寒意窜上你的头颅，你感受到了一阵撕裂般的剧痛。,A sudden chill surges through your skull; you feel a tearing pain.
一些片段从你的脑海里一闪而逝……,一些片段从你的脑海里一闪而逝……,Fragments flash through your mind...
你什么都没有抓到。,你什么都没有抓到。,You grasp nothing.
……,……,...
又是一阵头疼，忍过剧痛之后，这一次你凝神捕获那些出现在你脑海中的记忆碎片……,又是一阵头疼，忍过剧痛之后，这一次你凝神捕获那些出现在你脑海中的记忆碎片……,"Another headache. After enduring the pain, you focus and catch the memory fragments surfacing in your mind..."
洁白的仪器发出滴滴的声音，在一片纯白的空间之中，一切都是死寂，只有另一个人的心跳声伴随着你。,洁白的仪器发出滴滴的声音，在一片纯白的空间之中，一切都是死寂，只有另一个人的心跳声伴随着你。,"White instruments beep softly. In this pure white space, all is silent except for another heartbeat keeping you company."
……,……,...
那些画面逐渐清晰起来，过去的一切在这一刻变得清晰,那些画面逐渐清晰起来，过去的一切在这一刻变得清晰,The images grow clearer. Everything from the past becomes vivid in this moment.
你现在在看着我吗？,你现在在看着我吗？,Are you watching me right now?
我已经知道该如何做出选择。,我已经知道该如何做出选择。,I already know how to choose.
这是一具骸骨，看身形应该是个十岁的孩子。,这是一具骸骨，看身形应该是个十岁的孩子。,"These are a child's bones — about ten years old, by the look of it."
要为他收敛骸骨吗？,要为他收敛骸骨吗？,Would you like to gather the bones for burial?
好的,好的,Yes
取消,取消,Cancel
说服失败了,说服失败了,Persuasion failed.
费诺娜,费诺娜,Fenona
你的敌人会阻挡你，请无畏地前进并摧毁他们！打败魔塔之主，拯救世界，成为这个世界的英雄吧！,你的敌人会阻挡你，请无畏地前进并摧毁他们！打败魔塔之主，拯救世界，成为这个世界的英雄吧！,"Enemies will block your path. Press forward fearlessly and crush them! Defeat the Tower Lord, save the world, become its hero!"
世界需要你，请打败魔塔之主，拯救这个世界吧！,世界需要你，请打败魔塔之主，拯救这个世界吧！,The world needs you. Defeat the Tower Lord and save us all!
……,……,...
你已经死亡，神会给你重生的机会,你已经死亡，神会给你重生的机会,You have died. God grants you a chance to be reborn.
你被神杀死了,你被神杀死了,You were slain by God.
勇士只许死亡，不许投降，重来一次吧,勇士只许死亡，不许投降，重来一次吧,"A hero may die, but never surrender. Try again."
接下来的敌人会更厉害，要小心了！,接下来的敌人会更厉害，要小心了！,The enemies ahead are stronger. Be careful!
接下来你要走好运了！,接下来你要走好运了！,Good fortune is coming your way!
